Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Blue,FALSE,3,0,1,1,1,1,0,0,1,0,0,0,1,167.64,172.72,135,1,0,2,4,0,0,0,1,2,2,0,5,167.64,172.72,135,29,41,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,2,0,0,1,1,0,0,0,2,172.72,177.8,135,0,1,4,5,0,0,0,2,2,2,0,6,175.26,172.72,135,29,27,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,3,0,0,3,0,1,0,0,4,180.34,182.88,170,0,1,2,3,0,0,1,2,0,1,0,4,180.34,182.88,170,32,28,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,182.88,185.42,155,2,0,1,5,0,0,0,1,2,0,0,3,182.88,180.34,155,32,30,0,0,1,0,0,0,1,0
Red,TRUE,5,0,3,3,3,0,0,0,1,5,1,0,7,193.04,193.04,205,0,1,13,2,12,0,0,7,5,5,0,17,193.04,213.36,205,30,31,0,1,0,0,0,1,0,0
Blue,TRUE,5,0,9,9,0,1,0,0,7,1,1,0,9,182.88,193.04,170,0,3,3,3,5,1,1,1,5,1,0,9,175.26,187.96,170,31,36,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,2,2,0,0,0,0,1,0,1,0,2,162.56,162.56,115,2,0,3,3,0,0,0,5,0,1,0,6,154.94,152.4,115,29,29,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,2,4,4,0,0,0,2,2,3,0,7,167.64,165.1,135,2,0,6,2,3,0,0,2,4,0,0,6,172.72,165.1,135,32,27,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,4,4,0,0,0,0,1,0,3,0,4,185.42,185.42,145,1,0,3,14,0,0,1,6,7,0,1,15,172.72,180.34,145,28,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,0,0,0,0,0,2,0,0,2,195.58,208.28,205,0,1,4,2,0,0,0,0,1,4,0,5,190.5,195.58,205,26,32,0,1,0,0,0,1,0,0
