"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
0,3,3,0,5,0,0,0,1,2,0,0,3,187.96,190.5,264,25
1,0,2,2,7,0,0,0,0,1,2,0,3,190.5,200.66,205,27
0,3,3,0,7,0,0,0,2,1,0,0,3,185.42,198.12,264,31
0,2,3,4,26,0,0,0,3,1,2,0,6,182.88,185.42,170,28
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,145,25
0,1,1,2,7,0,0,0,0,0,2,0,2,190.5,193.04,205,31
0,1,1,0,3,0,0,0,1,0,0,0,1,172.72,177.8,170,34
1,0,2,2,11,0,0,0,1,1,2,0,4,165.1,165.1,125,30
1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,182.88,170,29
0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,175.26,125,25
2,0,1,3,7,0,0,0,0,0,1,0,1,177.8,180.34,155,28
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.259531136887,155,27
0,8,8,0,23,1,0,0,6,1,1,0,8,182.88,193.04,170,31
1,0,2,3,25,0,0,1,1,0,4,0,6,172.72,172.72,135,34
0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,193.045794977604,185,21
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,170.18,125,34
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,185.42,145,30
0,3,3,0,6,0,0,0,1,1,1,0,3,167.64,165.1,135,26
1,0,1,2,8,0,0,1,0,0,0,0,1,177.8,177.8,155,31
1,0,0,1,2,0,0,0,0,0,0,0,0,185.42,195.58,170,35
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,27
2,0,6,2,16,1,0,0,0,4,1,1,6,193.04,210.82,250,32
0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,213.36,257,26
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,135,28
1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,190.5,170,28
1,0,2,3,15,0,0,1,1,0,1,0,3,180.34,182.88,170,28
