"Winner","Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Rcurrentlosestreak","Rcurrentwinstreak","Rlongestwinstreak","Rlosses","Rtotalroundsfought","Rtotaltitlebouts","RwinbyDecisionMajority","RwinbyDecisionSplit","RwinbyDecisionUnanimous","RwinbyKOTKO","RwinbySubmission","RwinbyTKODoctorStoppage","Rwins","RHeightcms","RReachcms","RWeightlbs","Bage","Rage","BStanceOpen.Stance","BStanceOrthodox","BStanceSideways","BStanceSouthpaw","BStanceSwitch","RStanceOpen.Stance","RStanceOrthodox","RStanceSideways","RStanceSouthpaw","RStanceSwitch"
"Blue",0,3,3,0,5,0,0,0,0,2,1,0,3,180.34,177.8,135,0,2,6,3,38,0,0,1,4,6,1,0,12,160.02,170.18,135,27,28,0,0,0,0,1,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.5,155,0,1,1,0,1,0,0,0,0,0,1,0,1,187.96,185.42,155,26,25,0,1,0,0,0,0,1,0,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,2,0,3,8,33,0,0,1,2,3,3,0,9,187.96,195.58,170,28,36,0,0,0,1,0,0,1,0,0,0
"Blue",0,1,1,0,3,0,0,0,0,1,0,0,1,190.5,195.58,265,3,0,7,12,59,5,0,1,4,9,2,0,16,190.5,195.58,240,27,40,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,0,1,3,3,22,0,0,0,2,2,3,0,7,177.8,180.34,155,26,32,0,1,0,0,0,0,1,0,0,0
"Red",1,0,1,2,4,0,0,0,0,0,1,0,1,187.96,187.96,155,1,0,7,13,71,0,0,2,6,3,7,0,18,172.72,180.34,155,29,35,0,0,0,1,0,0,0,0,1,0
"Red",2,0,0,2,6,0,0,0,0,0,0,0,0,154.94,162.56,115,2,0,1,6,23,0,0,0,3,0,0,0,3,160.02,162.56,115,32,34,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,1,5,12,2,0,0,1,1,0,0,2,187.96,187.96,170,0,1,3,6,39,1,0,1,5,0,2,0,8,180.34,190.5,170,30,34,0,1,0,0,0,0,1,0,0,0
"Red",0,2,2,2,12,0,0,0,0,1,5,0,6,187.96,203.2,240,0,1,4,6,29,1,1,0,2,6,0,0,9,193.04,203.2,265,41,38,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,155,0,4,4,1,11,0,0,0,2,1,2,0,5,177.8,177.8,155,22,27,0,1,0,0,0,0,1,0,0,0
