"Fighter_ID","Fighter","Date","current_lose_streak","current_win_streak","longest_win_streak","losses","total_rounds_fought","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO_TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Height_cms","Reach_cms","Weight_lbs","age","Stance_Open_Stance","Stance_Orthodox","Stance_Southpaw","Stance_Switch"
165,"Besam Yousef","2013-04-06",1,0,0,1,2,0,0,0,0,0,0,0,0,180.34,180.34,170,28,0,1,0,0
166,"Bethe Correia","2019-05-11",2,0,3,4,21,1,0,2,1,1,0,0,4,165.1,162.56,135,35,0,1,0,0
167,"Bevon Lewis","2019-06-08",1,0,0,1,3,0,0,0,0,0,0,0,0,190.5,200.66,185,28,0,1,0,0
168,"Bharat Kandare","2017-11-25",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,135,30,0,1,0,0
169,"Bill Mahood","2005-06-04",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.742360937783,200,38,0,1,0,0
170,"Billy Miles","2007-12-08",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.259531136887,170,29,0,1,0,0
171,"Blagoy Ivanov","2019-06-08",0,1,1,1,8,0,0,0,1,0,0,0,1,180.34,185.42,250,32,0,0,1,0
172,"Bobby Green","2018-12-15",0,1,4,4,23,0,0,1,2,1,1,0,5,177.8,180.34,155,32,0,1,0,0
173,"Bobby Hoffman","2001-11-02",2,0,0,2,4,0,0,0,0,0,0,0,0,187.96,193.045794977604,245,33,0,1,0,0
174,"Bobby Moffett","2019-03-23",0,1,1,0,2,0,0,0,0,0,1,0,1,177.8,187.96,145,28,0,1,0,0
175,"Bobby Nash","2017-11-25",2,0,0,2,4,0,0,0,0,0,0,0,0,182.88,187.96,170,27,0,1,0,0
176,"Bobby Southworth","2005-04-09",0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,193.045794977604,205,35,0,1,0,0
177,"Bobby Voelker","2014-06-07",3,0,0,3,8,0,0,0,0,0,0,0,0,182.88,190.5,170,35,0,1,0,0
178,"Bojan Mihajlovic","2017-09-02",2,0,0,2,4,0,0,0,0,0,0,0,0,180.34,185.42,205,37,0,1,0,0
179,"Bojan Velickovic","2017-11-18",1,0,1,3,15,0,0,0,1,1,0,0,2,182.88,193.04,170,28,0,0,1,0
180,"Boston Salmon","2019-04-13",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,28,0,0,1,0
181,"Brad Blackburn","2010-04-10",1,0,3,1,11,0,0,1,1,1,0,0,3,177.8,185.42,170,32,0,1,0,0
182,"Brad Imes","2007-04-07",2,0,0,2,6,1,0,0,0,0,0,0,0,200.66,206.528624778499,265,30,0,1,0,0
183,"Brad Katona","2019-05-04",0,2,2,0,6,1,0,0,2,0,0,0,2,167.64,162.56,135,27,0,1,0,0
184,"Brad Kohler","1997-12-21",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,179.562965176708,220,33,0,1,0,0
185,"Brad Morris","2008-09-17",1,0,0,1,1,0,0,0,0,0,0,0,0,187.96,193.045794977604,205,28,0,1,0,0
186,"Brad Pickett","2017-03-18",2,0,2,8,30,0,0,2,1,1,1,0,5,167.64,172.72,135,38,0,1,0,0
187,"Brad Tavares","2018-07-06",0,4,5,4,43,0,0,2,8,2,0,0,12,185.42,187.96,185,30,0,1,0,0
188,"Branden Lee Hinkle","2006-06-28",1,0,1,1,2,0,0,0,0,1,0,0,1,190.5,195.742360937783,235,32,0,1,0,0
189,"Brandon Davis","2019-04-13",2,0,1,3,11,0,0,0,1,0,0,0,1,177.8,182.88,135,28,0,1,0,0
190,"Brandon Melendez","2007-06-23",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,184.956097097066,155,24,0,0,1,0
191,"Brandon Moreno","2018-05-19",1,0,3,1,11,0,0,1,0,0,2,0,3,170.18,177.8,125,24,0,1,0,0
192,"Brandon Thatch","2016-12-30",3,0,2,3,10,0,0,0,0,2,0,0,2,187.96,187.96,170,31,0,0,0,1
193,"Brandon Vera","2013-08-31",1,0,4,7,34,0,0,0,3,4,1,0,8,190.5,193.04,230,35,0,1,0,0
194,"Brandon Wolff","2009-05-23",1,0,0,1,1,0,0,0,0,0,0,0,0,175.26,179.562965176708,170,33,0,1,0,0
195,"Brendan O'Reilly","2016-12-03",1,0,1,2,7,0,0,0,1,0,0,0,1,170.18,175.26,170,29,0,1,0,0
196,"Brendan Schaub","2014-12-06",1,0,4,4,18,1,0,0,2,3,1,0,6,193.04,198.12,245,31,0,1,0,0
197,"Brett Johns","2018-08-04",1,0,3,1,10,0,0,0,2,0,1,0,3,170.18,180.34,135,26,0,1,0,0
198,"Brian Bowles","2013-05-25",1,0,2,1,6,0,0,0,1,0,1,0,2,170.18,177.8,135,32,0,1,0,0
199,"Brian Camozzi","2018-02-18",2,0,0,2,5,0,0,0,0,0,0,0,0,187.96,198.12,170,26,0,1,0,0
200,"Brian Ebersole","2015-06-06",0,1,4,2,19,0,0,2,2,1,0,0,5,182.88,185.42,170,34,0,0,1,0
201,"Brian Foster","2010-11-20",0,1,1,2,6,0,0,0,0,2,0,0,2,175.26,180.34,170,26,0,1,0,0
