"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Red",1,0,16,6,58,13,0,0,3,11,3,0,17,187.96,195.58,185,44,0,0,1,0,0,1,2,4,17,0,0,0,1,3,0,0,4,180.34,195.58,185,35,0,0,0,1
"Blue",0,6,6,0,15,0,0,0,3,3,0,0,6,167.64,180.34,145,30,0,1,0,0,0,2,7,3,45,11,0,0,6,4,0,0,10,170.18,177.8,145,32,0,1,0,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,185.42,180.34,170,26,0,1,0,0,0,1,7,10,61,1,0,1,5,7,1,1,15,175.26,177.8,170,35,0,1,0,0
"Red",2,0,3,4,21,1,0,2,1,1,0,0,4,165.1,162.56,135,35,0,1,0,0,0,2,2,2,12,0,0,1,1,0,0,0,2,175.26,172.72,135,31,0,1,0,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,195.58,200.66,205,27,0,1,0,0,0,1,2,5,24,0,0,1,1,4,0,0,6,187.96,190.5,205,42,0,0,1,0
"Red",3,0,0,3,7,0,0,0,0,0,0,0,0,180.34,177.8,155,32,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,177.8,155,24,0,1,0,0
"Red",1,0,4,4,31,1,0,2,2,1,3,0,8,182.88,182.88,170,36,0,1,0,0,1,0,4,3,22,1,0,0,2,0,3,1,6,180.34,182.88,170,28,0,1,0,0
"Blue",1,0,4,12,67,0,0,3,5,2,4,0,14,170.18,177.8,155,37,0,1,0,0,7,0,3,14,74,11,0,0,1,6,4,1,12,175.26,177.8,155,40,0,1,0,0
"Red",2,0,0,2,5,0,0,0,0,0,0,0,0,170.18,165.1,125,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,125,25,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,170.18,135,22,0,0,1,0,0,2,2,0,5,0,0,0,0,1,1,0,2,170.18,170.18,135,32,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,172.72,135,32,0,1,0,0,0,1,1,2,9,0,0,0,1,0,0,0,1,162.56,172.72,135,32,0,1,0,0
"Blue",0,2,8,8,63,1,0,0,6,10,6,0,22,185.42,185.42,155,36,0,1,0,0,0,1,5,3,33,2,0,1,4,4,0,0,9,177.8,177.8,155,32,0,1,0,0
"Red",0,3,3,2,28,1,0,1,5,2,0,0,8,185.42,190.5,185,30,0,1,0,0,2,0,5,5,22,0,0,0,2,6,1,0,9,185.42,195.58,185,35,0,0,1,0
"Blue",0,1,3,1,13,0,0,0,2,1,1,0,4,180.34,190.5,145,28,0,1,0,0,3,0,6,6,46,0,0,0,6,4,0,0,10,172.72,177.8,145,35,0,1,0,0
"Blue",0,1,1,2,9,0,0,0,1,0,0,0,1,167.64,172.72,135,28,0,1,0,0,0,2,2,0,6,1,0,0,2,0,0,0,2,167.64,162.56,135,27,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,198.12,260,24,0,1,0,0,1,0,2,7,20,0,0,0,0,4,0,0,4,195.58,195.58,250,35,0,0,1,0
"Blue",0,1,2,2,15,1,0,0,3,0,0,0,3,185.42,187.96,185,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,185,29,0,1,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,177.8,135,28,0,1,0,0,1,0,1,1,6,0,0,0,1,0,0,0,1,172.72,172.72,135,31,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,170,29,0,0,1,0,2,0,3,4,23,0,0,1,3,2,0,0,6,185.42,187.96,170,37,0,1,0,0
