"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Red",3,165.1,3,0,1,0,0,1,3,0,0
"Red",0,165.1,3,1,0,0,0,1,0,0,0
"Red",1,193.04,5,0,0,1,0,3,0,0,0
"Blue",1,182.88,0,0,0,0,0,0,0,0,0
"Red",0,165.1,3,0,0,0,0,1,0,0,0
"Red",0,193.04,0,0,0,0,0,0,0,0,0
"Red",0,177.8,0,0,0,0,1,0,0,1,0
"Red",0,167.64,7,1,0,0,0,2,0,0,0
"Blue",2,182.88,2,0,0,1,0,0,0,0,0
"Blue",0,193.04,0,1,0,1,0,0,0,0,0
"Red",2,213.36,2,0,0,0,0,5,0,0,0
"Blue",7,172.72,0,0,0,0,0,0,1,0,0
"Blue",0,190.5,8,2,0,1,0,0,0,0,0
"Blue",2,185.42,3,0,0,0,0,2,0,0,0
"Blue",5,167.64,4,0,0,0,0,0,0,0,0
"Blue",0,172.72,3,1,1,0,0,0,0,0,0
"Blue",2,172.72,2,0,0,0,0,0,0,1,0
"Red",1,175.26,0,0,0,1,0,1,1,0,0
"Red",0,200.66,7,0,0,0,0,0,0,0,0
"Red",3,193.04,0,0,0,0,0,0,0,0,0
"Blue",0,167.64,2,1,0,1,1,1,0,0,0
"Blue",0,195.58,3,1,0,0,0,4,1,0,0
"Red",4,190.5,6,0,0,0,0,0,0,1,0
"Red",0,180.34,3,1,0,0,0,1,1,0,0
"Blue",2,180.34,12,0,1,0,0,7,0,0,0
"Red",0,182.88,3,0,0,0,0,0,0,1,0
"Blue",1,180.34,4,0,0,0,0,1,0,0,0
"Blue",1,195.58,1,0,1,0,0,3,0,0,0
"Blue",0,190.5,5,1,0,1,0,0,0,0,0
"Red",0,180.34,1,0,0,1,0,0,0,0,0
"Blue",0,193.04,2,1,0,1,0,0,0,0,0
"Blue",0,203.2,2,0,0,0,0,0,0,0,0
"Red",6,175.26,3,0,0,0,0,2,0,1,0
"Red",1,167.64,2,0,1,0,0,2,1,0,0
"Blue",0,193.04,4,1,0,0,0,3,0,1,0
"Red",0,185.42,1,1,0,0,0,0,1,0,0
"Blue",2,200.66,4,0,0,0,0,0,0,0,0
"Blue",3,160.02,3,0,0,0,0,1,0,0,0
"Blue",0,177.8,3,1,1,0,0,4,0,0,0
"Blue",2,172.72,1,0,0,0,0,0,1,0,0
"Red",0,190.5,2,1,0,1,0,0,0,0,0
"Red",0,162.56,0,2,0,1,0,0,0,0,0
