Fighter_ID,Fighter,Date,current_lose_streak,current_win_streak,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO_TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Height_cms,Reach_cms,Weight_lbs,age,Stance_Open_Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,fighter_img_path
87,Andre Pederneiras,16/07/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.8663992,155,32,0,1,0,0,images/mufi.jpeg
88,Andre Roberts,16/07/1999,1,0,0,1,1,0,0,0,0,0,0,0,0,187.96,193.045795,345,34,0,1,0,0,images/shayan.jpeg
89,Andre Soukhamthath,13/04/2019,0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,30,0,1,0,0,images/reza.jpeg
90,Andre Winner,02/07/2011,2,0,2,3,11,1,0,0,1,1,0,0,2,180.34,185.42,155,29,0,1,0,0,images/prat.jpeg
91,Andrea Lee,17/02/2019,0,1,1,0,3,0,0,0,1,0,0,0,1,167.64,175.26,125,30,0,1,0,0,images/vikas.jpeg
92,Andreas Stahl,10/12/2015,1,0,0,1,3,0,0,0,0,0,0,0,0,180.34,185.42,170,27,0,1,0,0,images/mufi.jpeg
93,Andrei Arlovski,27/04/2019,3,0,7,12,59,5,0,1,4,9,2,0,16,190.5,195.58,240,40,0,1,0,0,images/shayan.jpeg
94,Andrei Semenov,10/05/2002,0,1,1,0,2,0,0,0,0,1,0,0,1,182.88,187.6526631,185,24,0,1,0,0,images/reza.jpeg
95,Andrew Craig,15/07/2015,2,0,2,3,16,0,0,1,1,1,0,0,3,185.42,193.04,170,29,0,1,0,0,images/prat.jpeg
96,Andrew Holbrook,02/09/2017,1,0,1,2,8,0,0,2,0,0,0,0,2,180.34,177.8,155,31,0,0,1,0,images/vikas.jpeg
97,Andrew Sanchez,04/05/2019,0,1,2,2,15,1,0,0,3,0,0,0,3,185.42,187.96,185,31,0,1,0,0,images/mufi.jpeg
